,Artist,Total Views,100M,Avg
73,Charlie Puth,839329999999.9999,10.0,1.95
74,Jorge & Mateus,838029999999.9999,22.0,2.69
75,Sam Smith,829460000000.0,13.0,2.19
76,Future,814690000000.0,13.0,2.3
77,Farruko,811680000000.0,20.0,2.19
78,Jason Derulo,810550000000.0,22.0,1.05
79,BIGBANG,804630000000.0,21.0,1.04
80,50 Cent,801080000000.0,15.0,2.61
81,Skrillex,794600000000.0,16.0,0.89
82,Martin Garrix,782720000000.0,14.0,1.2
83,Badshah,782230000000.0,16.0,2.78
84,Miley Cyrus,775010000000.0,19.0,1.6
85,Wesley Safadão,752970000000.0,15.0,3.06
86,MattyB,742460000000.0,21.0,1.34
87,Reik,731510000000.0,20.0,2.48
88,Fifth Harmony,731340000000.0,8.0,1.01
89,Anitta,727800000000.0,22.0,1.72
90,Natti Natasha,719960000000.0,13.0,1.78
91,6ix9ine,716440000000.0,14.0,0.96
92,HA-ASH,715950000000.0,16.0,1.82
93,Meghan Trainor,713530000000.0,7.0,1.99
94,CantaJuego,713360000000.0,12.0,2.27
95,Paulo Londra,708640000000.0,15.0,2.37
96,Britney Spears,702970000000.0,25.0,1.47
97,Guns N' Roses,702060000000.0,8.0,1.78
98,Arcangel,701740000000.0,14.0,4.78
99,Crazy Frog,696040000000.0,12.0,3.98
100,Clean Bandit,693080000000.0,8.0,0.97
101,P!nk,684900000000.0,18.0,1.52
102,Chino & Nacho,682340000000.0,13.0,0.96
103,Little Mix,673230000000.0,17.0,1.0
104,Migos,672110000000.0,11.0,1.39
105,Matheus & Kauan,671490000000.0,16.0,1.97
106,Don Omar,670280000000.0,15.0,2.37
107,Christian Nodal,662250000000.0,17.0,3.27
108,CNCO,661830000000.0,14.0,0.66
109,Cardi B,657380000000.0,12.0,0.96
110,Mariah Carey,655940000000.0,16.0,1.82
111,AC/DC,653690000000.0,13.0,1.75
112,OneRepublic,651760000000.0,10.0,1.66
113,Demi Lovato,643240000000.0,13.0,0.62
114,Kevin Gates,640470000000.0,11.0,1.55
115,Ricky Martin,639070000000.0,10.0,0.9
116,Piso 21,637530000000.0,10.0,1.84
117,Maître Gims,632550000000.0,17.0,1.4
118,Juice WRLD,631720000000.0,13.0,2.54
119,Idina Menzel,630830000000.0,7.0,2.6
120,Boyce Avenue,630030000000.0,10.0,0.96
121,Prince Royce,624680000000.0,14.0,1.78
122,Ellie Goulding,623510000000.0,10.0,0.67
123,EXO,621550000000.0,16.0,0.96
124,DJ Khaled,619510000000.0,11.0,1.04
125,Justin Timberlake,610560000000.0,12.0,1.14
126,Thalia,602400000000.0,12.0,1.07
127,Travis Scott,600790000000.0,14.0,1.37
128,Sidhu Moose Wala,599220000000.0,18.0,5.75
129,Lil Baby,591600000000.0,18.0,3.23
130,Jass Manak,588730000000.0,15.0,1.51
131,Inna,586690000000.0,15.0,1.42
132,Cartel de Santa,581660000000.0,18.0,2.08
133,Patati Patatá,579160000000.0,13.0,2.34
134,Maiara & Maraisa,578590000000.0,12.0,1.96
135,Red Hot Chili Peppers,576410000000.0,12.0,1.59
136,Calibre 50,573650000000.0,15.0,2.26
